Test ID,Journey stage,Preconditions,Test data,Expected result,Actual result,Status,Evidence reference,Defect ID,Retest result
G0-001,Repository identity,Repository available,None,Branch SHA and dirty status recorded,"main at 4653d2ec745004b16ea3eb644d4be66a72c10f07; dirty telemetry worktree preserved",PASS,OPSTRAX_ENVIRONMENT_TRUTH_REPORT.md,,NOT EXECUTED
G0-002,Local runtime,Local services expected on configured ports,None,Frontend API and events respond,"No response on localhost ports 10000 8088 or 8090",NOT IMPLEMENTED,OPSTRAX_ENVIRONMENT_TRUTH_REPORT.md,,NOT EXECUTED
G0-003,Public frontend,Connected Chrome available,None,Target loads in real browser,Public OpsTrax login page loaded in Chrome,PASS,screenshots/001_Authentication_Login_Blocked.png,,NOT EXECUTED
G0-004,Environment classification,Non-production isolated staging URL required,None,Target is staging,"Staging preview and API identified; live API reports Staging",PASS,OPSTRAX_ENVIRONMENT_TRUTH_REPORT.md,,NOT EXECUTED
G0-005,Authentication,Dedicated staging personas required,None,Safe authenticated staging session available,Staging preview redirects to Vercel login/access gate,BLOCKED,screenshots/002_Staging_Vercel_Access_Blocked.png,DEF-001,NOT EXECUTED
G0-006,API readiness,Staging API known,None,Ready/deep health returns verifiable runtime truth,"/health /health/ready and /health/deep returned healthy/ready; SHA 979c142b3b0b228e7c84b88a37c2eacb66b76d38",PASS,OPSTRAX_ENVIRONMENT_TRUTH_REPORT.md,,NOT EXECUTED
G0-007,Database and RLS,Ready staging API and DB evidence required,None,Migrations and restricted tenant identities verified,"Connected; restricted identities and RLS ready; zero contract violations; required migrations applied",PASS,OPSTRAX_ENVIRONMENT_TRUTH_REPORT.md,,NOT EXECUTED
G0-008,Workers,Deep health required,None,Critical workers verified healthy,"7 of 7 critical workers healthy and fresh",PASS,OPSTRAX_ENVIRONMENT_TRUTH_REPORT.md,,NOT EXECUTED
G0-009,Customer-data safety,Authenticated isolated staging tenant required,UAT-20260821-1035,Existing customer data absence verified,Unknown; no authenticated safe tenant,BLOCKED,OPSTRAX_ENVIRONMENT_TRUTH_REPORT.md,DEF-001,NOT EXECUTED
G0-010,Security static review,Repository available,None,No release-blocking static findings,"Critical/high findings recorded for telemetry admission secret handling privacy and RBAC",FAIL,OPSTRAX_DEFECT_REGISTER.md,DEF-003;DEF-004;DEF-005;DEF-006,NOT EXECUTED
G0-011,Backend security diagnostic,Test binaries and local test DB expected,None,Security slice passes with DB coverage,"109 passed; 9 database-dependent checks blocked because PostgreSQL 127.0.0.1:5433 was unavailable",BLOCKED,Security reviewer Gate 0 output,DEF-002,NOT EXECUTED
G0-012,Telemetry edge diagnostic,Test binaries and OPSTRAX_TEST_DB expected,None,Edge slice passes with durability coverage,"117 passed; 1 database-dependent check blocked because OPSTRAX_TEST_DB was absent",BLOCKED,Security reviewer Gate 0 output,DEF-002,NOT EXECUTED
G0-013,Build comparison,Local and deployed SHAs captured,None,Build under test is explicit,"Local 4653d2e differs from staging frontend/API 979c142; deployed staging build selected as target",FAIL,OPSTRAX_ENVIRONMENT_TRUTH_REPORT.md,DEF-001,NOT EXECUTED
