Row ID,Defect/Test ID,Owner,Hypothesis,Command/Action,Expected result,Actual result,Evidence,Commit SHA,Deployed SHA,Status,Next action
R1-BOOT-001,BOOTSTRAP,Orchestrator,Repository truth can be established without mutating preserved work,"git rev-parse HEAD; git status --porcelain; git remote -v",Branch/SHA/worktree recorded and preserved,"Branch feat/telematics-public-tcp-edge; HEAD a6378c7b825837dbe7a1a5666191cd6692981205; 4 modified + 6 untracked paths preserved unchanged",scratchpad/waveA_baseline_status.txt,a6378c7,979c142,PASS,Hold baseline for post-Wave-A diff check
R1-BOOT-002,BOOTSTRAP,Orchestrator,Deployed staging SHA is reachable in local history,"git cat-file -t 979c142...; git merge-base --is-ancestor 979c142 HEAD","Deployed SHA resolvable and its relationship to HEAD known","979c142b3b0b228e7c84b88a37c2eacb66b76d38 = 'Fix terminal-secured migration reconciliation' 2026-08-13; ancestor of both main and HEAD; HEAD is 86 commits ahead",OPSTRAX_ENVIRONMENT_TRUTH_REPORT.md + git,a6378c7,979c142,PASS,Delta analysis in Wave A
R1-BOOT-003,BOOTSTRAP,Orchestrator,UAT-run source SHA relates to current HEAD,"git merge-base --is-ancestor 4653d2e HEAD",Relationship known,"4653d2ec745004b16ea3eb644d4be66a72c10f07 is ancestor of HEAD; HEAD is 17 commits ahead of the UAT-run source",git,a6378c7,979c142,PASS,None
R1-BOOT-004,DEF-002,Orchestrator,"Database-dependent lanes were BLOCKED only because no PostgreSQL was reachable at 127.0.0.1:5433","command -v psql; docker info; nc -z 127.0.0.1 5432/5433","Determine whether an isolated PostgreSQL can now be provisioned","psql 18.4 present; Docker daemon UP; ports 5432 AND 5433 both OPEN locally; OPSTRAX_TEST_DB unset",Local toolchain probe,a6378c7,979c142,PASS,Gate 1 can provision an isolated database on a non-conflicting port
R1-BOOT-005,DEF-028,Orchestrator,"A Cloudflare security challenge is recorded in preserved UAT-20260821-1035 evidence","grep -rin 'cloudflare|challenge|just a moment' docs/uat/","At least one preserved artifact records the challenge","NO MATCH. No register row, ledger row, screenshot, or report in docs/uat/UAT-20260821-1035/ records a Cloudflare challenge. Only Cloudflare references in repo are R2 object-storage config (render.yaml, S3ObjectStore.cs)",docs/uat/UAT-20260821-1035/ (full-text search),a6378c7,979c142,NOT CONFIRMED,Do not open DEF-028 from narrative alone; await live probe evidence from runtime-truth reconnaissance
R1-BOOT-006,BOOTSTRAP,Orchestrator,Project skills/agents exist for required capabilities,"ls .claude/skills .claude/agents .agents/skills; cat .mcp.json",Capability inventory known,"4 project skills present (opstrax-telematics, production-diagnosis, demo-readiness, honest-interfaces); NO .claude/agents/; NO .agents/skills/; NO project .mcp.json",Repo inspection,a6378c7,979c142,PASS,Record MISSING CAPABILITY items after live probes
R1-G0-001,DEF-017,Orchestrator (verified Wave-A claim),"routes.sla_risk is created by some migration and merely failed to reach staging","grep -rn 'sla_risk' database/migrations/ database/init/",At least one migration or init file defines routes.sla_risk,"ZERO hits in database/migrations/ and database/init/. Only definition is backend-dotnet/Services/Batch2SchemaService.cs:127",Direct grep verification,a6378c7,979c142,ROOT CAUSE RECLASSIFIED,Write an ordered idempotent migration; do not treat as drift
R1-G0-002,DEF-018,Orchestrator (verified Wave-A claim),"work_orders.asset_id is created by some migration","sed -n '/CREATE TABLE IF NOT EXISTS work_orders/,/^);/p' database/init/001_schema.sql; grep -rn asset_id database/migrations/",work_orders definition includes asset_id,"work_orders has NO asset_id (10 columns, none). The asset_id hits in stage50 belong to unrelated asset-lifecycle tables. Only definition is Batch3SchemaService.cs:71",Direct table-scoped verification,a6378c7,979c142,ROOT CAUSE RECLASSIFIED,Same migration as DEF-017
R1-G0-003,DEF-019,Orchestrator (verified Wave-A claim),"safety_events.event_number is created by some migration","sed -n '/CREATE TABLE IF NOT EXISTS safety_events/,/^);/p' database/init/001_schema.sql",safety_events definition includes event_number,"safety_events has NO event_number. The single init hit at 001_schema.sql:1137 belongs to idling_events, a different table. Only definition is Batch4SchemaService.cs:33",Direct table-scoped verification,a6378c7,979c142,ROOT CAUSE RECLASSIFIED,Same migration as DEF-017
R1-G0-004,DEF-020,Orchestrator (verified Wave-A claim),"Audit list vs count divergence is a UI/projection disagreement","grep -rn 'severity|module_key|action_type' backend-dotnet/Services/Batch7SchemaService.cs",Both surfaces read the same available columns,"audit_logs.severity/module_key/action_type defined ONLY at Batch7SchemaService.cs:57-59. Count query uses base columns and succeeds; list query filters on module_key/severity and 42703s -> renders zero",Direct verification,a6378c7,979c142,ROOT CAUSE RECLASSIFIED,Migration + reconcile authoritative projection
R1-G0-005,DEF-016/017/018/019/020,Orchestrator (verified Wave-A claim),"Runtime *SchemaService DDL executes in staging and would self-heal these columns","sed -n '1640,1675p' backend-dotnet/Program.cs",Runtime schema init runs in protected environments,"CONFIRMED SKIP: when connected as a restricted role under RLS enforcement Program.cs returns false and logs 'Skipping schema init ... Migrations/seeders must be applied out-of-band by the DB owner'. Staging/production are structurally guaranteed to lack every Batch*SchemaService-only column",backend-dotnet/Program.cs ShouldRunSchemaInitAsync,a6378c7,979c142,CONFIRMED,Gate 1 must add these columns as real migrations
R1-G0-006,RELEASE-RISK,Orchestrator (from Wave-A),"HEAD can be deployed to staging once code fixes land","git show de00b75 -- backend-dotnet/Services/FleetProductionReadinessService.cs",Deploy order is unconstrained,"BLOCKING ORDER CONSTRAINT: de00b75 enrolled company_security_settings/security_events/driver_offline_queue/hos_records into the readiness contract. Deploying any SHA >= de00b75 before Stage 83/84/85 are applied makes /health/ready fail and Render withholds traffic (render.yaml healthCheckPath)",Wave-A migration architect; to be re-verified at Gate 6,a6378c7,979c142,OPEN CONSTRAINT,Migrations must land before the SHA in Gate 6
R1-G0-007,DEF-003/DEF-004a/DEF-005,Orchestrator (verified Wave-A claim),"Telematics installer/outbox findings represent live exposure on the deployed staging build","git cat-file -e 979c142:telematics/deploy/install.sh; git ls-tree -d --name-only 979c142:telematics/",Files exist at the deployed SHA,"ABSENT at 979c142. install.sh, imei-allowlist.example.txt and FileForwardOutbox.cs do not exist at the deployed SHA; telematics/ then held only fixtures, src, tests","git cat-file verification",a6378c7,979c142,NOT APPLICABLE TO DEPLOYED SHA,"Reclassify as pre-ship blockers for the edge; fix before the public TCP edge deploys, not as live incident"
R1-G0-008,DEF-004b,Orchestrator (verified Wave-A claim),"The legacy gateway-secret manifest conflict is HEAD-only like the rest of DEF-004","git show 979c142:render.yaml | grep Telemetry__; git diff --stat 979c142 HEAD -- ConfigValidationService.cs",Determine live applicability,"LIVE AT DEPLOYED SHA. render.yaml:38 Telemetry__DeviceSecret and :40 Telemetry__GatewaySecret both present at 979c142; ConfigValidationService.cs byte-identical across SHAs. Following the blueprint sets a key whose mere presence is a startup-fatal validation failure","git show / git diff verification",a6378c7,979c142,CONFIRMED LIVE,"Remove the keys from manifests; do NOT weaken ConfigValidationService"
R1-G0-009,DEF-022,Orchestrator (verified Wave-A claim),"The installation form fails to submit due to validation block, unwired handler, disabled button, or permission gate","sed -n '95,104p;952,980p' frontend/src/pages/IotDevicesPage.tsx",Identify which of the five candidate causes is real,"CONFIRMED SWALLOWED THROW: toUtcIso throws Error when effectiveAt is empty/unparseable and is called inside the object literal passed to assignMut.mutate, with no try/catch. The throw escapes before mutate runs so ZERO network I/O occurs; assignMut.error stays null so the modal error slot renders nothing. A bare silent return on the odometer branch shares the defect class","frontend/src/pages/IotDevicesPage.tsx direct read",a6378c7,979c142,ROOT CAUSE CONFIRMED,"Hoist conversion out of mutate + try/catch to a visible error; align drawer gate to canGovernInstallations"
R1-G0-010,DEF-023,Orchestrator (from Wave-A),"Archive failure is a frontend dialog problem or a server-side revoke problem","Read EndpointMappings DeviceRevoke + IotDevicesPage confirm sites",Locate the fault,"Server revoke is already correct: clears api_key_hash, hmac_secret, hmac_secret_encrypted and all previous credential material, sets Revoked, writes audit. Fault is purely window.confirm gating the mutation. Repo-wide window.confirm count is 13 sites across 8 pages; DeviceRevoke also omits the state-transition ledger row its neighbours write",Wave-A telematics report; server path to be re-verified in Gate 3,a6378c7,979c142,ROOT CAUSE IDENTIFIED,"Shared accessible ConfirmDialog primitive + add device transition row"
R1-G0-011,DEF-028,Orchestrator (verified live),"API access is blocked by a Cloudflare security challenge","11 probe requests by recon + 4 verification curls to staging and production APIs",Challenge reproduced with cf-mitigated evidence,"NOT REPRODUCED. All requests completed normally; cloudflare appears only as Render's CDN edge (server: cloudflare, cf-ray present, no cf-mitigated, no 403, no challenge body). Only access block anywhere is Vercel SSO on the staging frontend = existing DEF-001",prod_health_headers.txt + recon probe matrix,a6378c7,979c142+b7f495b,NOT OPENED,"Retest during Gate 7 browser work; if a challenge appears then, capture headers and open DEF-028 as specified. No bypass attempted"
R1-G0-012,NEW-STG-DIAG,Orchestrator (verified live),"Staging serves operator diagnostics without authentication because the DiagnosticsAuthorizedAsync gate (commit 6288dd0) is not deployed there","curl -o /dev/null -w %{http_code} staging+production /health/deep","Both environments require auth","STAGING /health/deep = 200 UNAUTH (full worker roster, migration ledger, RLS/grant counts); /metrics also open per recon. PRODUCTION = 401. Fix exists in source (Program.cs DiagnosticsAuthorizedAsync, commit 6288dd0) and is simply undeployed",Live A/B probe 2026-08-22,a6378c7,979c142,NEW DEFECT CANDIDATE — FIX ALREADY IN SOURCE,"Closes by deploying the reviewed SHA at Gate 6; add 401-unauth regression test"
